Cartographie PMSI; ; 
Référentiel géographique : France par code géographique PMSI; ; 
Code;Libellé;Séjours PMSI MCO au lieu de résidence 2018
13510;ÉGUILLES;N/A
13520;MAUSSANE-LES-ALPILLES;N/A
13530;TRETS;N/A
13550;NOVES;N/A
13560;SÉNAS;N/A
13570;BARBENTANE;N/A
13580;LA FARE-LES-OLIVIERS;N/A
13590;MEYREUIL;N/A
13600;LA CIOTAT;N/A
13610;LE PUY-SAINTE-RÉPARADE;N/A
13620;CARRY-LE-ROUET;N/A
13630;EYRAGUES;N/A
13640;LA ROQUE-D'ANTHÉRON;N/A
13650;MEYRARGUES;N/A
13660;ORGON;N/A
13670;SAINT-ANDIOL;N/A
13680;LANÇON-PROVENCE;N/A
13690;GRAVESON;N/A
13700;MARIGNANE;N/A
13710;FUVEAU;N/A
13720;LA BOUILLADISSE;N/A
13730;SAINT-VICTORET;N/A
13740;LE ROVE;N/A
13750;PLAN-D'ORGON;N/A
13760;SAINT-CANNAT;N/A
13770;VENELLES;N/A
13780;CUGES-LES-PINS;N/A
13790;ROUSSET;N/A
13800;ISTRES;N/A
13810;EYGALIÈRES;N/A
13820;ENSUÈS-LA-REDONNE;N/A
13821;LA PENNE-SUR-HUVEAUNE;N/A
13830;ROQUEFORT-LA-BÉDOULE;N/A
13840;ROGNES;N/A
13850;GRÉASQUE;N/A
13870;ROGNONAS;N/A
13880;VELAUX;N/A
13890;MOURIÈS;N/A
13910;MAILLANE;N/A
13920;SAINT-MITRE-LES-REMPARTS;N/A
13930;AUREILLE;N/A
13940;MOLLÉGÈS;N/A
13950;CADOLIVE;N/A
13960;SAUSSET-LES-PINS;N/A
13980;ALLEINS;N/A
13990;FONTVIEILLE;N/A
13C01;SAINT-PAUL-LÈS-DURANCE/JOUQUE;N/A
13C02;VAUVENARGUES/PEYROLLES-EN-PRO;N/A
13C03;VERNÈGUES/AURONS;N/A
14000;CAEN;14
14100;LISIEUX;13
14110;CONDÉ-EN-NORMANDIE;N/A
14111;LOUVIGNY;N/A
14112;BIÉVILLE-BEUVILLE;N/A
14114;VER-SUR-MER;N/A
14120;MONDEVILLE;N/A
14123;IFS;N/A
14130;PONT-L'ÉVÊQUE;N/A
14150;OUISTREHAM;N/A
14160;DIVES-SUR-MER;N/A
14170;SAINT-PIERRE-EN-AUGE;13
14190;VALAMBRAY;N/A
14200;HÉROUVILLE-SAINT-CLAIR;N/A
14220;LE HOM;N/A
14230;ISIGNY-SUR-MER;N/A
14240;CAUMONT-SUR-AURE;N/A
14250;THUE ET MUE;N/A
14260;SOULEUVRE EN BOCAGE;N/A
14280;SAINT-CONTEST;N/A
14290;LIVAROT-PAYS-D'AUGE;N/A
14310;VILLERS-BOCAGE;N/A
14320;SAINT-MARTIN-DE-FONTENAY;N/A
14330;ISIGNY-SUR-MER;N/A
14340;MÉZIDON VALLÉE D'AUGE;N/A
14350;SOULEUVRE EN BOCAGE;N/A
14360;TROUVILLE-SUR-MER;N/A
14370;MÉZIDON VALLÉE D'AUGE;N/A
14380;NOUES DE SIENNE;N/A
14390;CABOURG;N/A
14400;BAYEUX;N/A
14410;VALDALLIÈRE;N/A
14420;POTIGNY;N/A
14430;DOZULÉ;N/A
14440;DOUVRES-LA-DÉLIVRANDE;N/A
